_private.«ROOT».Algebra.Sum.0.«ROOT».Program.inl.match_1.eq_2	«ROOT».Algebra.Sum	theorem	u_1,u_2,u_3	∀ {S : «ROOT».Signature.{u_2, u_1}} {A : Type u_1} (motive : «ROOT».Program.{u_1, u_2} S A → Sort u_3)   (operation : «ROOT».Signature.Op.{u_2, u_1} S)   (next : «ROOT».Signature.Answer.{u_2, u_1} S operation → «ROOT».Program.{u_1, u_2} S A)   (h_1 : (value : A) → motive (@«ROOT».Program.pure.{u_1, u_2} S A value))   (h_2 :     (operation : «ROOT».Signature.Op.{u_2, u_1} S) →       (next : «ROOT».Signature.Answer.{u_2, u_1} S operation → «ROOT».Program.{u_1, u_2} S A) →         motive (@«ROOT».Program.vis.{u_1, u_2} S A operation next)),   @Eq.{u_3} (motive (@«ROOT».Program.vis.{u_1, u_2} S A operation next))     (@«ROOT».Program.inl.match_1.{u_1, u_2, u_3} S A motive (@«ROOT».Program.vis.{u_1, u_2} S A operation next) h_1       h_2)     (h_2 operation next)		
_private.«ROOT».Algebra.Sum.0.«ROOT».Program.inl.match_1.splitter	«ROOT».Algebra.Sum	def	u_1,u_2,u_3	{S : «ROOT».Signature.{u_2, u_1}} →   {A : Type u_1} →     (motive : «ROOT».Program.{u_1, u_2} S A → Sort u_3) →       (x : «ROOT».Program.{u_1, u_2} S A) →         (h_1 : (value : A) → motive (@«ROOT».Program.pure.{u_1, u_2} S A value)) →           (h_2 :               (operation : «ROOT».Signature.Op.{u_2, u_1} S) →                 (next : «ROOT».Signature.Answer.{u_2, u_1} S operation → «ROOT».Program.{u_1, u_2} S A) →                   motive (@«ROOT».Program.vis.{u_1, u_2} S A operation next)) →             motive x	@«ROOT».Program.inl.match_1.{u_1, u_2, u_3}	
«ROOT».BindAssoc	«ROOT».Algebra.MonadLaws	def	u,v	(M : Type u → Type v) → [Monad.{u, v} M] → Prop	fun (M : Type u → Type v) [inst : Monad.{u, v} M] =>   ∀ {A B C : Type u} (value : M A) (next : A → M B) (last : B → M C),     @Eq.{v + 1} (M C)       (@Bind.bind.{u, v} M (@Monad.toBind.{u, v} M inst) B C         (@Bind.bind.{u, v} M (@Monad.toBind.{u, v} M inst) A B value next) last)       (@Bind.bind.{u, v} M (@Monad.toBind.{u, v} M inst) A C value fun (result : A) =>         @Bind.bind.{u, v} M (@Monad.toBind.{u, v} M inst) B C (next result) last)	
«ROOT».Handler	«ROOT».Algebra.Handler	inductive	uAns,uOp,uTarget	(signature : «ROOT».Signature.{uOp, uAns}) → (M : Type uAns → Type uTarget) → Type (max uOp uTarget)		
«ROOT».Handler._sizeOf_1	«ROOT».Algebra.Handler	def	uAns,uOp,uTarget	{signature : «ROOT».Signature.{uOp, uAns}} →   {M : Type uAns → Type uTarget} →     [(a : Type uAns) → SizeOf.{uTarget + 1} (M a)] → (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M) → Nat	fun {signature : «ROOT».Signature.{uOp, uAns}} {M : Type uAns → Type uTarget}     [(a : Type uAns) → SizeOf.{uTarget + 1} (M a)] (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M) =>   @«ROOT».Handler.rec.{1, uAns, uOp, uTarget} signature M     (fun (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M) => Nat)     (fun         (handle :           (operation : «ROOT».Signature.Op.{uOp, uAns} signature) →             M («ROOT».Signature.Answer.{uOp, uAns} signature operation)) =>       @OfNat.ofNat.{0} Nat (nat_lit 1) (instOfNatNat (nat_lit 1)))     t	
«ROOT».Handler._sizeOf_inst	«ROOT».Algebra.Handler	def	uAns,uOp,uTarget	(signature : «ROOT».Signature.{uOp, uAns}) →   (M : Type uAns → Type uTarget) →     [(a : Type uAns) → SizeOf.{uTarget + 1} (M a)] →       SizeOf.{max (uOp + 1) (uTarget + 1)} («ROOT».Handler.{uAns, uOp, uTarget} signature M)	fun (signature : «ROOT».Signature.{uOp, uAns}) (M : Type uAns → Type uTarget)     [inst : (a : Type uAns) → SizeOf.{uTarget + 1} (M a)] =>   @SizeOf.mk.{max (uOp + 1) (uTarget + 1)} («ROOT».Handler.{uAns, uOp, uTarget} signature M)     fun (m : «ROOT».Handler.{uAns, uOp, uTarget} signature M) =>     @«ROOT».Handler._sizeOf_1.{uAns, uOp, uTarget} signature M inst m	
«ROOT».Handler.casesOn	«ROOT».Algebra.Handler	def	u,uAns,uOp,uTarget	{signature : «ROOT».Signature.{uOp, uAns}} →   {M : Type uAns → Type uTarget} →     {motive : (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M) → Sort u} →       (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M) →         (mk :             (handle :                 (operation : «ROOT».Signature.Op.{uOp, uAns} signature) →                   M («ROOT».Signature.Answer.{uOp, uAns} signature operation)) →               motive (@«ROOT».Handler.mk.{uAns, uOp, uTarget} signature M handle)) →           motive t	fun {signature : «ROOT».Signature.{uOp, uAns}} {M : Type uAns → Type uTarget}     {motive : (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M) → Sort u}     (t : «ROOT».Handler.{uAns, uOp, uTarget} signature M)     (mk :       (handle :           (operation : «ROOT».Signature.Op.{uOp, uAns} signature) →             M («ROOT».Signature.Answer.{uOp, uAns} signature operation)) →         motive (@«ROOT».Handler.mk.{uAns, uOp, uTarget} signature M handle)) =>   @«ROOT».Handler.rec.{u, uAns, uOp, uTarget} signature M motive     (fun         (handle :           (operation : «ROOT».Signature.Op.{uOp, uAns} signature) →             M («ROOT».Signature.Answer.{uOp, uAns} signature operation)) =>       mk handle)     t	
«ROOT».Handler.ctorIdx	«ROOT».Algebra.Handler	def	uAns,uOp,uTarget	{signature : «ROOT».Signature.{uOp, uAns}} →   {M : Type uAns → Type uTarget} → «ROOT».Handler.{uAns, uOp, uTarget} signature M → Nat	fun {signature : «ROOT».Signature.{uOp, uAns}} {M : Type uAns → Type uTarget}     (x : «ROOT».Handler.{uAns, uOp, uTarget} signature M) =>   nat_lit 0	
«ROOT».Handler.ext	«ROOT».Algebra.Handler	theorem	u_1,u_2,u_3	∀ {S : «ROOT».Signature.{u_1, u_2}} {M : Type u_2 → Type u_3} {left right : «ROOT».Handler.{u_2, u_1, u_3} S M}   (equal :     ∀ (operation : «ROOT».Signature.Op.{u_1, u_2} S),       @Eq.{u_3 + 1} (M («ROOT».Signature.Answer.{u_1, u_2} S operation))         (@«ROOT».Handler.handle.{u_2, u_1, u_3} S M left operation)         (@«ROOT».Handler.handle.{u_2, u_1, u_3} S M right operation)),   @Eq.{max (u_3 + 1) (u_1 + 1)} («ROOT».Handler.{u_2, u_1, u_3} S M) left right		Quot.sound
«ROOT».Handler.ext_iff	«ROOT».Algebra.Handler	theorem	u_1,u_2,u_3	∀ {S : «ROOT».Signature.{u_1, u_2}} {M : Type u_2 → Type u_3} {left right : «ROOT».Handler.{u_2, u_1, u_3} S M},   Iff (@Eq.{max (u_3 + 1) (u_1 + 1)} («ROOT».Handler.{u_2, u_1, u_3} S M) left right)     (∀ (operation : «ROOT».Signature.Op.{u_1, u_2} S),       @Eq.{u_3 + 1} (M («ROOT».Signature.Answer.{u_1, u_2} S operation))         (@«ROOT».Handler.handle.{u_2, u_1, u_3} S M left operation)         (@«ROOT».Handler.handle.{u_2, u_1, u_3} S M right operation))		Quot.sound
